year,year_tag,year_desc,quarter,quarter_tag,quarter_desc,words,words_tag,words_desc
first,TIME,REL,1st,TIME,REL,increase,APPLY,UP
second,TIME,REL,2nd,TIME,REL,increases,APPLY,UP
third,TIME,REL,3rd,TIME,REL,increased,APPLY,UP
latest,TIME,REL,4th,TIME,REL,rise,APPLY,UP
previous,TIME,PAST,first,TIME,REL,rose,APPLY,UP
tax,TIME,PAST,second,TIME,REL,grow,APPLY,UP
recent,TIME,PAST,third,TIME,REL,grew,APPLY,UP
preceding,TIME,PAST,fourth,TIME,REL,fall,APPLY,DOWN
fiscal,TIME,PAST,recent,TIME,PAST,fell,APPLY,DOWN
calendar,TIME,PAST,fiscal,TIME,PAST,drop,APPLY,DOWN
past,TIME,PAST,previous,TIME,PAST,dropped,APPLY,DOWN
financial,TIME,PAST,past,TIME,PAST,decrease,APPLY,DOWN
last,TIME,PAST,final,TIME,REL,decreases,APPLY,DOWN
upcoming,TIME,FUTURE,last,TIME,PAST,decreased,APPLY,DOWN
next,TIME,FUTURE,next,TIME,FUTURE,decline,APPLY,DOWN
current,TIME,FUTURE,upcoming,TIME,FUTURE,declined,APPLY,DOWN
coming,TIME,FUTURE,following,TIME,FUTURE,reduce,APPLY,DOWN
following,TIME,FUTURE,coming,TIME,FUTURE,reduced,APPLY,DOWN
present,TIME,FUTURE,present,TIME,FUTURE,change,APPLY,DOWN
future,TIME,FUTURE,current,TIME,FUTURE,shrink,APPLY,DOWN